80800000,停止按鈕被觸發
80801000,讀取或寫入記憶卡失敗
80802000,記憶體處理錯誤
80803000,內部錯誤(一般是因為控制器硬體異常)
80804000,DIO 錯誤(控制器異常)
80805000,互鎖輸入被觸發
91800000,靜態脫調(由控制器端引發)
91801000,位置超出軟體正極限
91802000,位置超出軟體負極限
91803000,位置超出硬體正極限
91804000,位置超出硬體負極限
81805000,馬達驅動器異常(Servo OFF 狀態)
91806000,原點復歸在參數中被關閉
91807000,手臂伸出未退回，無法進行其他動作。
91808000,等待移動結束超時
91809000,動態脫調(由控制器端引發)
8180A000,動作干涉停止(由 DIO 觸發)
9180B000,動作干涉停止(翻轉軸干涉)
9180C000,動作干涉停止(障礙物干涉)
81810000,Mapping 失敗
81811000,Mapping 干涉
91812000,原點復歸失敗
81813000,需要先執行原點復歸
81814000,在 Servo Off 時執行 Motion 命令
81815000,目前有錯誤發生無法進行動作，請先排除錯誤。
81816000,Robot 目前在暫停狀態，無法動作。
81817000,SHOME 命令失敗
91818000,SHOME 命令失敗，位置處於不安全範圍。
91819000,MOVEP 命令失敗，位置處於不安全範圍。
81820000,Alignment: Arm 軸的補正設定值過大
81821000,Alignment: 設定值 1 異常
81822000,Alignment: 設定值 2 異常
81823000,Alignment: R 側無 Sensor 檢出
81824000,Alignment: L 側無 Sensor 檢出
81825000,Alignment: Sensor ON/OFF 次數過多
81826000,Alignment: 補正角度過大
81827000,Alignment: X 軸補正過大
81830000,端面檢知異常失敗
81831000,端面檢知參數錯誤
81832000,端面檢知 Sensor ON/OFF 次數過多
81833000,端面檢知無 Sensor 檢出
81834000,端面檢知偵測錯誤
81835000,端面檢知超出範圍
91840000,End Effector 位置錯誤
91841000,End Effector  馬達過電流(End Effector  開闔並使用馬控制的版本才會有此錯誤)
91842000,End Effector  馬達過電流(峰值)
91843000,End Effector  Encoder 異常
91844000,End Effector 手臂參數錯誤
91845000,End Effector 變化PAD 吸著方式失敗
91850000,緊急停止
91851000,脈波計數器溢位
91852000,編碼器脈波輸入異常
81860000,擬似多軸錯誤
81861000,擬似多軸 Arm 動作干涉
81862000,硬體不支援擬似多軸功能
81863000,超出 Link-Arm 的最大到達範圍
91864000,補間後速度超出馬達最高轉速
92800000,馬達驅動器異常
92801000,馬達驅動器初始化失敗(請檢查 CAN Bus 接線或是終端電阻)
92802000,馬達驅動器異常
92803000,馬達驅動器溫度異常
92804000,馬達驅動器過電流
92805000,馬達驅動器靜態脫調
92806000,馬達驅動器動態脫調
92807000,馬達驅動器速度異常
92808000,馬達驅動器電壓異常
92809000,馬達驅動器 ORG Search 失敗
9280A000,馬達驅動器脈波產生異常
9280B000,馬達驅動器馬達電壓異常
82810000,馬達驅動器電源啟動失敗
92811000,馬達驅動器無法 Servo On
92812000,馬達驅動器清除警報失敗
92813000,無法與馬達驅動器通訊
92814000,ABS Encoder 異常
92815000,ABS Encoder  讀取失敗
92816000,ABS Encoder Z-Phase 錯誤
92817000,馬達還未停止就進行下一個命令
92818000,馬達序號不匹配
92819000,ABS Encoder 電池警告
92820000,遠端 I/O 擴展板初始化失敗
92821000,遠端 I/O 擴展板通訊異常
92822000,NA
92823000,NA
83800000,等待感測器超時
83801000,PCL REQ_ENTER 訊號沒回應
83802000,PCL REQ_ENTER 訊號 'ON' 異常
93803000,在席感測器訊號 'ON' 異常
93804000,在席感測器訊號 'OFF' 異常
83805000,控制器風扇異常
83806000,Robot 風扇 1 異常
83807000,Robot 風扇 2 異常
83808000,Robot 風扇 3 異常
93809000,原點感測器訊號 'ON' 異常
9380A000,晶圓保持(吸附)失敗(有 Timeout 參數)
9380B000,晶圓釋放失敗(有 Timeout 參數)
9380C000,晶圓保持(吸附)失敗(直接判斷無 Timeout)
9380D000,晶圓釋放失敗(直接判斷無 Timeout)
9380E000,晶圓 Grip 測器訊號異常
9380F000,晶圓感測器訊號異常
83810000,壓力異常
83820000,撞機(震動感知器觸發)
83830000,皮帶斷裂
93840000,Power Lock 感測器訊號 'ON' 異常
83850000,等待 Arm Interlock 感測器訊號 'ON' 超時
83860000,找不到Tag
84800000,未知的命令
84801000,上一個命令還在執行中
84802000,控制器異常
84803000,命令未在時間內完成
84804000,命令執行失敗
84805000,命令中斷
84806000,Robot 目前切換到手動模式，無法接受命令。
84807000,命令所帶的參數超過容許範圍
84808000,命令暫停後無法繼續(有錯誤發生)
84809000,命令還未結束無法執行 Reset 動作
8480A000,未知的命令類型
8480B000,命令格式錯誤
8480C000,執行暫停命令失敗
8480D000,GET/PUT分段動作所帶的 Step 參數無效
85800000,速度超出範圍
85801000,速度的選擇超出範圍(Normal, Teach, ORG)
85802000,移動命令的點位參數超出範圍
85803000,移動命令的 Arm 參數超出範圍
85804000,Side Number 超出範圍
85805000,Point Data 中 'Reference Cassette' 指向自己
85806000,Point Data 中 'Reference Position' 指向自己
85807000,移動命令的 Slot 參數超出範圍
85808000,移動命令的 Column 參數超出範圍
85809000,移動命令的 Row 參數超出範圍
8580A000,移動命令的點位資料沒有被設定
8580B000,R/L 軸同動功能被關閉
8580C000,移動命令所指定的 Slot 型式錯誤
95810000,軸已被關閉，無法進行動作
95811000,要移動的位置超出可移動範圍
95812000,要移動的位置超出軟體極限值
95813000,速度參數錯誤導致設定失敗
95821000,移動速度參數設定錯誤(高速)
95822000,移動速度參數設定錯誤(低速)
95823000,移動速度參數設定錯誤(加速度)
95824000,移動速度參數設定錯誤(S-Curve 加速度)
95825000,移動速度參數設定錯誤(Offset)
95826000,齒輪比分子設定錯誤
95827000,齒輪比分母設定錯誤
95828000,導程設定錯誤
85829000,Link-Arm 參數設定錯誤
9582A000,正極限參數設定錯誤 或 Link-Arm 參數設定錯誤 
9582B000,負極限參數設定錯誤 或 Link-Arm 參數設定錯誤
85830000,Elevator 動作錯誤
85831000,Elevator 點位資料設定錯誤
85832000,Elevator 指定新停止位置異常
88C00000,CTU marco Parameter error
88C01000,Check CTU Grab sensor error (path different)
88C02000,Check CTU Release sensor error
88C03000,CTU Position error ( prepare for WHR)
88C04000,CTU Position error ( for CTU rotate)
88C05000,CTU Home Position error ( prepare for PTZ)
88C06000,PTZ Position error for CTU process
88C07000,CTU  Contact position error(to PTZ)
88C08000,Wafer protrusion was detected by CTU
88D00000,Format error
88D01000,CTU not in home position
88D02000,PTZ not in home position
88D03000,PTZ Not in odd position
88D04000,PTZ Not in even position
88D05000,PTZ Not in home position
88D06000,PTZ Not in face position
88D07000,PTZ Not in back position
88D08000,PTZ Not in clean position
88D09000,PTZ Not in dirty position
88D0A000,PTZ Sensor error
